Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,SMA_50,RSI_14,MACD_Value,Bollinger_Bands_Upper
1902-10-21,95.86,97.09,97.87,95.09,7203230,1.2831,2.78,96.5884,43.53,-0.2744,100.3421
1902-10-22,97.09,96.96,98.49,96.91,16987294,-0.1339,1.58,96.5884,43.02,-0.3205,100.3315
1902-10-23,96.96,97.17,98.16,96.39,7455740,0.2166,1.77,96.5884,44.17,-0.3362,100.1707
1902-10-24,97.17,96.76,98.03,96.04,19632639,-0.4219,1.99,96.5884,42.38,-0.3774,99.918
1902-10-27,96.76,95.8,97.18,93.34,7713287,-0.9921,3.84,96.5884,38.45,-0.4819,99.9321
1902-10-28,95.8,95.42,96.69,95.06,16137627,-0.3967,1.63,96.5884,36.99,-0.5886,100.0714
1902-10-29,95.42,95.97,97.68,95.3,17564192,0.5764,2.38,96.5884,40.51,-0.6217,100.1103
1902-10-30,95.97,96.23,97.01,94.74,12603247,0.2709,2.27,96.5884,42.16,-0.6197,100.1214
1902-10-31,96.23,94.91,96.85,93.7,17669187,-1.3717,3.15,96.5884,36.62,-0.7164,100.2563
1902-11-03,94.91,95.14,95.99,94.74,18977237,0.2423,1.25,96.5884,38.15,-0.7657,100.1522
1902-11-04,95.14,93.92,95.29,93.91,17495683,-1.2823,1.38,96.5884,33.54,-0.8929,100.2247
1902-11-05,93.92,92.95,94.71,91.79,5234207,-1.0328,2.92,96.5884,30.39,-1.0598,100.3144
1902-11-06,92.95,92.13,93.81,91.17,14588191,-0.8822,2.64,96.5884,28.0,-1.2438,100.3773
1902-11-07,92.13,91.26,92.27,89.89,7840141,-0.9443,2.38,96.5884,25.69,-1.4433,100.3763
1902-11-10,91.26,90.49,91.57,90.43,10266834,-0.8437,1.14,96.5884,23.82,-1.6445,100.3733
1902-11-11,90.49,90.76,91.59,90.47,1518175,0.2984,1.12,96.5884,25.86,-1.7619,100.0526
1902-11-12,90.76,92.22,92.59,90.26,7365795,1.6086,2.33,96.5884,35.86,-1.7173,99.8462
1902-11-13,92.22,92.26,92.4,92.09,8603902,0.0434,0.31,96.5884,36.12,-1.6596,99.3736
1902-11-14,92.26,93.0,93.85,90.74,12340032,0.8021,3.11,96.5884,40.79,-1.5365,98.8063
1902-11-17,93.0,92.07,93.51,91.36,3180761,-1.0,2.15,96.4198,37.12,-1.4967,98.6619
1902-11-18,92.07,92.17,92.8,90.99,17982750,0.1086,1.81,96.2228,37.77,-1.4404,98.2703
1902-11-19,92.17,93.22,93.27,91.29,598863,1.1392,1.98,96.0562,44.27,-1.2962,97.8429
1902-11-20,93.22,94.29,96.09,92.76,9285687,1.1478,3.33,95.9204,50.01,-1.0831,97.3784
1902-11-21,94.29,94.31,95.19,92.85,6655968,0.0212,2.34,95.8336,50.12,-0.9022,96.9694
1902-11-24,94.31,94.32,94.49,93.63,16822573,0.0106,0.86,95.7504,50.17,-0.7494,96.7452
1902-11-25,94.32,94.01,95.08,93.23,766326,-0.3287,1.85,95.684,48.38,-0.6458,96.5501
1902-11-26,94.01,93.77,95.21,92.57,15485150,-0.2553,2.64,95.6186,46.97,-0.5765,96.1983
1902-11-27,93.77,93.36,94.36,91.36,18862804,-0.4372,3.0,95.5556,44.59,-0.5483,95.695
1902-11-28,93.36,93.78,94.99,93.2,549395,0.4499,1.79,95.4934,47.53,-0.4865,95.5157
1902-12-01,93.78,95.45,96.18,93.67,16563634,1.7808,2.51,95.4498,57.22,-0.2993,95.5899
1902-12-02,95.45,94.96,96.24,94.84,8317316,-0.5134,1.4,95.4024,54.06,-0.1883,95.7593
1902-12-03,94.96,96.74,97.42,93.41,629525,1.8745,4.01,95.4096,62.21,0.0428,96.4114
1902-12-04,96.74,96.4,97.69,95.13,7574447,-0.3515,2.56,95.4374,60.02,0.1963,96.8775
1902-12-05,96.4,98.53,98.76,94.74,3712610,2.2095,4.02,95.512,67.7,0.4842,97.767
1902-12-08,98.53,98.07,99.26,96.79,244356,-0.4669,2.47,95.5554,64.8,0.6676,98.2592
1902-12-09,98.07,97.73,98.88,97.03,11070723,-0.3467,1.85,95.5756,62.67,0.7765,98.5666
1902-12-10,97.73,98.33,98.58,96.48,388790,0.6139,2.1,95.5878,64.87,0.9008,99.0558
1902-12-11,98.33,98.01,98.85,94.82,18466444,-0.3254,4.03,95.5966,62.75,0.9625,99.3869
1902-12-12,98.01,98.09,98.29,97.94,15523647,0.0816,0.35,95.6092,63.07,1.0062,99.7142
1902-12-15,98.09,98.2,98.87,96.5,1504330,0.1121,2.37,95.5946,63.54,1.0377,99.9002
1902-12-16,98.2,96.97,98.35,96.38,1186880,-1.2525,1.97,95.5654,55.08,0.9525,99.8323
1902-12-17,96.97,95.82,97.56,94.94,9802701,-1.1859,2.62,95.508,48.57,0.7831,99.7502
1902-12-18,95.82,95.12,96.31,94.91,11198716,-0.7305,1.4,95.433,45.08,0.5857,99.7262
1902-12-19,95.12,94.53,95.97,94.17,17034380,-0.6203,1.8,95.3404,42.32,0.3772,99.7156
1902-12-22,94.53,93.84,94.98,93.76,4811075,-0.7299,1.22,95.2386,39.28,0.1546,99.7477
1902-12-23,93.84,94.39,95.1,92.05,12879494,0.5861,3.05,95.1388,42.8,0.0222,99.7251
1902-12-24,94.39,93.17,95.43,92.94,18232747,-1.2925,2.49,95.055,37.6,-0.179,99.7854
1902-12-25,93.17,94.72,95.16,92.76,17775536,1.6636,2.4,94.9806,46.5,-0.211,99.6902
1902-12-26,94.72,94.98,95.31,91.47,3364908,0.2745,3.84,94.913,47.84,-0.2129,99.6201
1902-12-29,94.98,94.75,95.84,94.47,13523442,-0.2422,1.37,94.8908,46.72,-0.2303,99.6316
1902-12-30,94.75,94.13,95.6,94.12,17916674,-0.6544,1.48,94.8316,43.76,-0.2908,99.67
1902-12-31,94.13,95.26,97.4,93.79,5432660,1.2005,3.61,94.7976,49.99,-0.2448,99.6038
1903-01-01,95.26,95.5,96.2,95.25,11498366,0.2519,0.95,94.7642,51.23,-0.1867,99.563
1903-01-02,95.5,97.32,97.72,95.41,11023237,1.9058,2.31,94.7754,59.42,0.006,99.3601
1903-01-05,97.32,97.4,97.65,96.81,10624841,0.0822,0.84,94.8074,59.74,0.1634,99.2512
1903-01-06,97.4,98.29,98.52,97.36,9826290,0.9138,1.16,94.8648,63.22,0.3558,99.352
1903-01-07,98.29,97.11,99.35,96.87,1386643,-1.2005,2.48,94.8876,56.28,0.4084,99.1519
1903-01-08,97.11,97.4,97.59,95.37,16031836,0.2986,2.22,94.911,57.51,0.468,99.0483
1903-01-09,97.4,98.47,99.95,96.52,548345,1.0986,3.43,94.9822,61.8,0.5948,99.1273
1903-01-12,98.47,97.75,100.35,97.17,5084445,-0.7312,3.18,95.0344,57.59,0.6299,99.0427
1903-01-13,97.75,96.25,98.07,95.43,16667296,-1.5345,2.64,95.081,49.95,0.5306,98.9694
1903-01-14,96.25,95.15,97.02,94.6,6162903,-1.1429,2.42,95.125,45.22,0.359,98.9496
1903-01-15,95.15,92.69,97.71,91.55,18748619,-2.5854,6.16,95.1362,36.82,0.0242,99.1077
1903-01-16,92.69,92.74,93.13,92.42,11989876,0.0539,0.71,95.1658,37.07,-0.2344,99.2275
1903-01-19,92.74,92.63,93.21,92.58,9346766,-0.1186,0.63,95.2086,36.72,-0.4431,99.3236
1903-01-20,92.63,94.08,95.04,90.48,6067106,1.5654,4.56,95.275,44.24,-0.4859,99.3296
1903-01-21,94.08,93.32,94.19,92.34,12749115,-0.8078,1.85,95.297,41.46,-0.5745,99.3186
1903-01-22,93.32,92.33,93.81,91.12,12264411,-1.0609,2.69,95.2984,38.1,-0.7164,99.4431
1903-01-23,92.33,93.92,94.68,92.18,9279875,1.7221,2.5,95.3168,45.71,-0.6925,99.4392
1903-01-26,93.92,92.01,94.28,91.43,1700396,-2.0336,2.85,95.3156,39.44,-0.8183,99.5573
1903-01-27,92.01,92.98,94.3,90.17,13160919,1.0542,4.13,95.3318,43.67,-0.8301,99.5878
1903-01-28,92.98,93.12,94.16,92.67,17987605,0.1506,1.49,95.3298,44.27,-0.8188,99.5695
1903-01-29,93.12,91.95,93.41,90.85,10255224,-1.2564,2.56,95.283,40.37,-0.8939,99.5866
1903-01-30,91.95,91.83,93.19,90.24,7349903,-0.1305,2.95,95.2334,39.98,-0.9521,99.3445
1903-02-02,91.83,91.23,92.05,90.75,13398372,-0.6534,1.3,95.1716,38.01,-1.0348,99.0636
1903-02-03,91.23,92.75,93.06,90.92,17964557,1.6661,2.14,95.1464,45.36,-0.9665,98.4346
1903-02-04,92.75,91.15,93.6,90.22,17720739,-1.7251,3.38,95.094,39.99,-1.0296,98.053
1903-02-05,91.15,91.86,92.99,89.62,18064103,0.7789,3.37,95.064,43.2,-1.0106,97.477
1903-02-06,91.86,93.14,93.14,91.44,14043554,1.3934,1.7,95.0512,48.56,-0.8822,96.44
1903-02-09,93.14,94.32,94.39,91.08,7202173,1.2669,3.31,95.0286,52.96,-0.6774,95.5346
1903-02-10,94.32,96.08,96.49,92.98,15061406,1.866,3.51,95.051,58.65,-0.3688,95.481
1903-02-11,96.08,97.56,98.44,95.64,16851329,1.5404,2.8,95.0674,62.73,-0.0047,96.2014
1903-02-12,97.56,97.22,98.62,95.46,7053757,-0.3485,3.16,95.0838,61.23,0.2534,96.9258
1903-02-13,97.22,96.35,97.34,95.99,10420855,-0.8949,1.35,95.0402,57.46,0.3834,97.3393
1903-02-16,96.35,98.07,98.34,95.82,807689,1.7852,2.52,95.0402,62.39,0.618,98.0937
1903-02-17,98.07,96.37,98.13,95.98,1949396,-1.7335,2.15,95.013,55.54,0.6592,98.3619
1903-02-18,96.37,96.34,97.52,95.73,6649546,-0.0311,1.79,94.9732,55.42,0.6816,98.6355
1903-02-19,96.34,96.21,96.41,95.11,8334679,-0.1349,1.3,94.9372,54.89,0.681,98.8549
1903-02-20,96.21,96.7,97.7,95.98,15111932,0.5093,1.72,94.9094,56.59,0.7119,99.1208
1903-02-23,96.7,96.78,97.13,96.09,5823601,0.0827,1.04,94.881,56.87,0.7343,99.341
1903-02-24,96.78,96.25,97.59,95.69,11975732,-0.5476,1.9,94.8666,54.32,0.7012,99.4947
1903-02-25,96.25,97.93,100.31,95.46,16199248,1.7455,4.85,94.9088,60.38,0.8013,99.8705
1903-02-26,97.93,97.64,99.9,97.61,1172200,-0.2961,2.29,94.9592,58.93,0.8475,100.0676
1903-02-27,97.64,97.6,98.54,97.48,3225354,-0.041,1.06,95.0206,58.72,0.8708,100.1699
1903-03-02,97.6,99.58,100.43,96.98,15252994,2.0287,3.45,95.1354,65.3,1.0371,100.439
1903-03-03,99.58,99.05,100.15,98.77,4683897,-0.5322,1.38,95.2286,62.43,1.1133,100.678
1903-03-04,99.05,96.74,99.24,95.15,7685153,-2.3322,4.09,95.3,51.75,0.9761,100.2205
1903-03-05,96.74,97.6,98.58,96.72,3808654,0.889,1.86,95.3576,54.85,0.926,99.765
1903-03-06,97.6,98.56,99.73,95.94,14302047,0.9836,3.79,95.4292,58.08,0.9528,99.5332
1903-03-09,98.56,97.81,99.99,97.16,11157963,-0.761,2.83,95.4904,54.78,0.9031,99.3152
1903-03-10,97.81,96.73,98.51,95.53,15311913,-1.1042,2.98,95.5424,50.34,0.7678,99.2825
1903-03-11,96.73,96.72,98.21,96.64,3980993,-0.0103,1.57,95.5716,50.3,0.6521,99.2582
1903-03-12,96.72,95.86,98.8,94.47,8511883,-0.8892,4.33,95.5788,46.8,0.4855,99.296
1903-03-13,95.86,95.47,96.52,94.07,2100609,-0.4068,2.45,95.5418,45.27,0.3184,99.3673
1903-03-16,95.47,94.16,95.48,92.52,9649765,-1.3722,2.96,95.477,40.46,0.0792,99.5192
1903-03-17,94.16,92.76,94.72,92.11,8475741,-1.4868,2.61,95.3664,36.05,-0.2207,99.9698
1903-03-18,92.76,92.27,93.59,91.73,9157014,-0.5282,1.86,95.2696,34.63,-0.4922,100.3675
1903-03-19,92.27,92.45,93.35,92.26,17907333,0.1951,1.09,95.1706,35.63,-0.685,100.618
1903-03-20,92.45,92.9,93.43,92.24,9013742,0.4867,1.19,95.0592,38.19,-0.7924,100.7123
1903-03-23,92.9,91.15,95.52,90.72,14560021,-1.8837,4.8,94.9272,32.74,-1.007,100.9656
1903-03-24,91.15,91.65,92.56,90.51,8140979,0.5485,2.05,94.8352,35.57,-1.1239,101.0901
1903-03-25,91.65,91.19,91.95,89.66,13471172,-0.5019,2.29,94.756,34.15,-1.2393,101.0124
1903-03-26,91.19,91.99,92.75,91.18,1516012,0.8773,1.57,94.742,38.74,-1.2518,100.822
1903-03-27,91.99,91.33,92.03,90.47,3857974,-0.7175,1.56,94.7138,36.48,-1.2999,100.6207
1903-03-30,91.33,90.95,92.73,90.72,8391923,-0.4161,2.01,94.6802,35.21,-1.3532,99.9722
1903-03-31,90.95,91.79,92.92,90.42,12238391,0.9236,2.5,94.6344,40.17,-1.3125,99.2619
1903-04-01,91.79,93.23,94.52,91.32,10813405,1.5688,3.2,94.6326,47.59,-1.1507,98.9339
1903-04-02,93.23,92.67,94.73,92.16,19746976,-0.6007,2.57,94.6394,45.24,-1.0556,98.388
1903-04-03,92.67,91.43,93.16,89.85,1235964,-1.3381,3.31,94.5896,40.48,-1.0679,97.5058
1903-04-06,91.43,91.76,92.17,90.94,973172,0.3609,1.23,94.5846,42.22,-1.0391,96.6597
1903-04-07,91.76,91.33,92.34,90.65,4163309,-0.4686,1.69,94.5516,40.55,-1.039,95.9905
1903-04-08,91.33,89.12,91.69,88.85,17706951,-2.4198,2.84,94.4716,33.28,-1.2033,95.3837
1903-04-09,89.12,90.07,91.84,88.72,5382591,1.066,3.12,94.434,38.4,-1.2426,94.7469
1903-04-10,90.07,88.2,90.42,88.18,16420656,-2.0762,2.24,94.3614,33.03,-1.4084,94.3649
1903-04-13,88.2,89.88,90.11,87.38,19385965,1.9048,2.73,94.3344,41.01,-1.3882,93.9791
1903-04-14,89.88,87.59,91.31,86.37,11560083,-2.5478,4.94,94.2312,34.9,-1.5392,94.1507
1903-04-15,87.59,86.71,88.1,85.46,9596563,-1.0047,2.64,94.1424,32.88,-1.7102,94.4155
1903-04-16,86.71,87.19,88.77,85.74,10850240,0.5536,3.03,94.049,35.09,-1.7864,94.4285
1903-04-17,87.19,87.91,87.98,86.71,7805092,0.8258,1.27,93.9444,38.37,-1.7683,94.2
1903-04-20,87.91,87.56,88.74,86.27,6456228,-0.3981,2.47,93.8092,37.38,-1.7619,94.1959
1903-04-21,87.56,87.11,90.13,86.73,5625633,-0.5139,3.4,93.6298,36.09,-1.7727,94.1284
1903-04-22,87.11,87.14,87.28,85.41,8457956,0.0344,1.87,93.4214,36.25,-1.7586,94.0633
1903-04-23,87.14,87.66,88.84,86.46,7495350,0.5967,2.38,93.2302,39.06,-1.686,93.8075
1903-04-24,87.66,88.31,88.37,87.38,9030264,0.7415,0.99,93.0694,42.47,-1.558,93.602
1903-04-27,88.31,87.19,89.18,86.25,10540139,-1.2683,2.93,92.8518,38.47,-1.5294,93.4544
1903-04-28,87.19,88.39,89.06,86.56,8987324,1.3763,2.5,92.6922,44.5,-1.3938,93.1161
1903-04-29,88.39,88.21,89.02,87.71,6771318,-0.2036,1.31,92.5296,43.81,-1.286,92.3638
1903-04-30,88.21,90.75,91.27,87.62,10643305,2.8795,3.65,92.4204,54.56,-0.9843,91.9143
1903-05-01,90.75,90.61,91.76,88.96,17894649,-0.1543,2.8,92.2986,53.95,-0.7479,91.7447
1903-05-04,90.61,90.38,91.24,89.11,4956447,-0.2538,2.13,92.1706,52.9,-0.5725,91.4357
1903-05-05,90.38,89.57,90.64,88.06,1096530,-0.8962,2.58,92.037,49.26,-0.4931,91.0869
1903-05-06,89.57,90.04,91.57,88.53,17922698,0.5247,3.04,91.8792,51.35,-0.3879,91.2119
1903-05-07,90.04,89.34,91.05,88.82,670451,-0.7774,2.23,91.7132,48.16,-0.3568,91.1059
1903-05-08,89.34,91.62,93.24,89.23,9527504,2.552,4.01,91.5936,57.43,-0.1465,91.6219
1903-05-11,91.62,92.75,93.81,90.5,12585559,1.2334,3.31,91.457,61.14,0.11,92.2524
1903-05-12,92.75,92.63,92.9,90.06,13881009,-0.1294,2.84,91.3286,60.53,0.3002,92.8506
1903-05-13,92.63,91.52,93.67,90.52,18182801,-1.1983,3.15,91.2242,55.12,0.3573,93.0754
1903-05-14,91.52,88.87,92.61,87.63,6194467,-2.8955,4.98,91.0496,44.81,0.1865,93.0352
1903-05-15,88.87,86.8,89.16,86.54,3548678,-2.3292,2.62,90.8144,38.72,-0.1146,93.105
1903-05-18,86.8,85.97,87.72,85.91,16742016,-0.9562,1.81,90.5776,36.58,-0.4153,93.2422
1903-05-19,85.97,86.92,87.86,84.7,15813088,1.105,3.16,90.3814,40.63,-0.5705,93.2548
1903-05-20,86.92,85.3,87.26,85.27,5679079,-1.8638,1.99,90.153,36.36,-0.8148,93.4392
1903-05-21,85.3,83.89,85.4,83.76,18605312,-1.653,1.64,89.9136,33.1,-1.1093,93.8176
1903-05-22,83.89,85.6,86.05,82.64,7452207,2.0384,3.41,89.7162,40.12,-1.1911,93.9035
1903-05-25,85.6,86.03,87.67,84.6,8085620,0.5023,3.07,89.5536,41.77,-1.2072,93.949
1903-05-26,86.03,84.33,86.93,84.1,6669632,-1.9761,2.83,89.385,37.38,-1.3418,94.1116
1903-05-27,84.33,83.62,84.66,82.36,3626737,-0.8419,2.3,89.212,35.69,-1.4885,94.3055
1903-05-28,83.62,82.37,84.43,81.06,10573867,-1.4949,3.37,89.0104,32.87,-1.6862,94.3297
1903-05-29,82.37,80.62,82.85,79.61,1805215,-2.1246,3.24,88.7648,29.38,-1.9615,94.4677
1903-06-01,80.62,78.54,82.32,78.33,5599593,-2.58,3.99,88.5126,25.86,-2.3208,94.7573
1903-06-02,78.54,78.44,78.82,78.4,10044790,-0.1273,0.42,88.2484,25.7,-2.5838,94.9161
1903-06-03,78.44,78.11,79.79,75.95,422918,-0.4207,3.84,87.9868,25.15,-2.7867,94.8507
1903-06-04,78.11,78.78,79.4,76.91,216739,0.8578,2.49,87.7226,28.5,-2.8605,94.6413
1903-06-05,78.78,79.88,81.03,78.66,11071177,1.3963,2.37,87.4936,33.74,-2.798,93.8152
1903-06-08,79.88,81.19,82.82,79.33,12911416,1.64,3.49,87.2984,39.44,-2.6126,92.4957
1903-06-09,81.19,83.01,83.03,80.3,15832903,2.2417,2.73,87.1228,46.34,-2.2924,90.9804
1903-06-10,83.01,82.1,83.72,80.76,9060820,-1.0963,2.96,86.9002,43.66,-2.088,89.4999
1903-06-11,82.1,80.25,83.38,79.63,9638555,-2.2533,3.75,86.6518,38.76,-2.0516,88.5567
1903-06-12,80.25,80.28,80.43,80.03,5002666,0.0374,0.4,86.4288,38.88,-1.9974,87.9685
1903-06-15,80.28,79.36,81.63,78.38,16870274,-1.146,3.25,86.1808,36.51,-2.0055,87.4975
1903-06-16,79.36,80.41,80.54,78.8,4231479,1.3231,1.74,85.9624,40.93,-1.9052,86.6836
1903-06-17,80.41,80.51,80.69,79.8,19645578,0.1244,0.89,85.7902,41.34,-1.797,86.154
1903-06-18,80.51,78.99,80.88,77.94,2821864,-1.888,2.94,85.5686,37.05,-1.813,85.8665
1903-06-19,78.99,79.17,79.5,77.01,18201286,0.2279,2.49,85.388,37.87,-1.7905,85.1195
1903-06-22,79.17,79.12,80.15,78.53,5087696,-0.0632,1.62,85.1728,37.73,-1.7564,84.0587
1903-06-23,79.12,77.8,79.35,76.74,8147252,-1.6684,2.61,84.977,33.97,-1.815,83.4237
1903-06-24,77.8,77.92,78.73,76.87,19079791,0.1542,1.86,84.8012,34.61,-1.8307,82.8393
1903-06-25,77.92,77.47,78.55,75.94,14243385,-0.5775,2.61,84.6068,33.31,-1.858,82.5247
1903-06-26,77.47,77.41,77.61,77.03,10623401,-0.0774,0.58,84.3968,33.13,-1.863,82.4779
1903-06-29,77.41,76.16,80.01,75.42,19260582,-1.6148,4.59,84.1688,29.57,-1.9454,82.6764
1903-06-30,76.16,75.8,76.6,75.58,10013841,-0.4727,1.02,83.9426,28.62,-2.0165,82.8804
1903-07-01,75.8,77.15,77.51,74.44,16943366,1.781,3.07,83.7428,36.84,-1.9415,82.9153
1903-07-02,77.15,74.44,77.25,73.98,14901890,-3.5126,3.27,83.4784,29.49,-2.0769,83.2441
1903-07-03,74.44,73.58,77.18,73.51,15270521,-1.1553,3.67,83.1838,27.61,-2.2278,83.5135
1903-07-06,73.58,74.6,74.86,73.45,12084398,1.3862,1.41,82.932,33.07,-2.2394,83.3361
1903-07-07,74.6,74.77,76.16,73.37,19612480,0.2279,2.79,82.6596,33.96,-2.2093,82.6348
1903-07-08,74.77,75.61,75.88,73.88,14890081,1.1234,2.0,82.4076,38.34,-2.0936,81.9679
1903-07-09,75.61,76.32,76.37,74.39,15104124,0.939,1.98,82.119,41.85,-1.9224,81.6109
1903-07-10,76.32,75.64,76.35,75.08,11405231,-0.891,1.27,81.8196,39.53,-1.8206,81.2078
1903-07-13,75.64,75.19,77.09,73.61,19007101,-0.5949,3.48,81.5158,38.02,-1.756,80.9415
1903-07-14,75.19,74.67,75.2,74.54,649239,-0.6916,0.66,81.2178,36.31,-1.7269,80.4138
1903-07-15,74.67,73.67,75.72,71.73,14233434,-1.3392,3.99,80.8904,33.2,-1.7642,79.8188
1903-07-16,73.67,72.46,73.83,71.63,17787991,-1.6425,2.2,80.5528,29.87,-1.8698,79.6389
1903-07-17,72.46,72.7,73.63,72.36,13597927,0.3312,1.27,80.1744,31.34,-1.9121,79.2599
1903-07-20,72.7,72.76,72.92,72.21,10912658,0.0825,0.71,79.7746,31.73,-1.9187,78.7625
1903-07-21,72.76,71.19,72.83,70.67,17903769,-2.1578,2.16,79.3458,27.39,-2.0272,78.6829
1903-07-22,71.19,70.59,71.82,69.4,13651364,-0.8428,2.42,78.9272,25.94,-2.137,78.5337
1903-07-23,70.59,69.34,71.16,66.84,6946192,-1.7708,4.32,78.5366,23.17,-2.2983,78.5417
1903-07-24,69.34,69.81,70.18,68.16,1929553,0.6778,2.02,78.1968,26.35,-2.3611,78.3077
1903-07-27,69.81,69.98,69.98,69.72,15627000,0.2435,0.26,77.877,27.52,-2.3698,78.1689
1903-07-28,69.98,70.92,72.47,68.18,18598826,1.3432,4.29,77.557,33.78,-2.2746,77.9318
1903-07-29,70.92,70.56,71.51,70.02,17204132,-0.5076,1.49,77.2622,32.62,-2.2028,77.3735
1903-07-30,70.56,71.64,72.55,69.58,11477787,1.5306,2.97,77.0172,39.36,-2.0353,77.2108
1903-07-31,71.64,70.26,72.37,70.23,12646501,-1.9263,2.14,76.7104,34.59,-1.991,77.1693
1903-08-03,70.26,72.06,72.97,70.23,4422626,2.5619,2.74,76.431,44.09,-1.79,76.9519
1903-08-04,72.06,73.38,74.51,70.42,15690661,1.8318,4.09,76.212,49.85,-1.5068,76.7756
1903-08-05,73.38,73.84,74.95,73.32,13405947,0.6269,1.63,76.0164,51.71,-1.2311,76.482
1903-08-06,73.84,74.67,75.17,72.78,6215518,1.1241,2.39,75.8624,54.97,-0.9348,76.1223
1903-08-07,74.67,75.83,76.76,74.07,1722572,1.5535,2.69,75.7666,59.11,-0.5995,76.1675
1903-08-10,75.83,75.67,75.98,74.46,19469886,-0.211,1.52,75.7092,58.31,-0.3427,76.2723
1903-08-11,75.67,74.85,76.48,73.99,19958544,-1.0837,2.49,75.6374,54.27,-0.203,76.3046
1903-08-12,74.85,73.86,75.01,73.64,9089138,-1.3226,1.37,75.5524,49.79,-0.1703,76.3287
1903-08-13,73.86,74.05,74.3,72.28,8924031,0.2572,2.02,75.4578,50.63,-0.1275,76.4823
1903-08-14,74.05,73.7,75.16,73.14,8167987,-0.4727,2.02,75.3342,49.0,-0.1204,76.5722
1903-08-17,73.7,72.99,74.14,72.8,17660282,-0.9634,1.34,75.1702,45.77,-0.1702,76.5886
1903-08-18,72.99,73.48,74.09,72.76,13985461,0.6713,1.33,74.9796,48.3,-0.1681,76.6818
